title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
PiÌ±ero,http://www.imdb.com/title/tt0045876/,US,1998,$32.5M,"Ericson Luketic Furie Rosenberg Sokolov Tammy Blanchard, Morgan Spector",1.0,Jimmy Feynman Coleridge the Brasco) Essex,Actor,Unknown,Asian American,0.0,Male,"Jeff Barrymore Basquiat Kate Luke, James von Sydow"
Knute Rockne All American,http://www.imdb.com/title/tt0082783/,Canada/UK,1947,$43.9M,"Rick Malle D'Sa, Trent Sokolov Tammy Blanchard, Morgan Spector",1.0,Gustav Hoffa Thorson England Scots Essex,Musician,Unknown,Hispanic (White),0.0,Male,"Meryl Hardy Nicholas Kate August, Kebede Ellison Sydow"
Muhammad: The Last Prophet,http://www.imdb.com/title/tt0108002/,US/Canada,1971,$7.27M,"Angelina Webber Hill Barbato Ford, Tammy Blanchard, Morgan Spector",1.0,Buster Chavez (Robert Munro Parker) Essex,Criminal,Unknown,Multi racial,0.0,Male,"Ralph Hershey Leigh Kate August, Austin von Sydow"
Marie Antoinette,http://www.imdb.com/title/tt0183306/,US/UK/Canada,1924,$5.67M,"Charles Duvivier Jones Pal Bliss Tammy Blanchard, Morgan Spector",1.1229096387672945,Veronica Amadeus Trapp Aurore Turner) Essex,Media,Unknown,Hispanic (Latino),0.050308693033565284,Male,Derek Lanza Hoffman Jean Liya Max von Sydow
Stars and Stripes Forever,http://www.imdb.com/title/tt0049778/,UK,1972,$2.96M,"Ben B. Norman Glenn Leyburn Tammy Blanchard, Morgan Spector",2.0,ErzsÌ©bet Donofrio Sassoon Leroy Turner) Essex,Actor,Known,Indian,0.0,Female,"Eben Bridges Sydow Martin Arthur, Max Whitelaw Sydow"
I'll See You in My Dreams,http://www.imdb.com/title/tt0107096/,US/UK,1960,$103M,"Warren Walsh Donehue Robert Sokolov Tammy Blanchard, Morgan Spector",1.0,FrÌ©dÌ©ric Graham Chaplin de Peron Essex,World leader,Known,Hispanic (Latin American),0.0,Female,"Heath Lambert Cooper, Martin Liya Billie Nichols Sydow"
Capote,http://www.imdb.com/title/tt0037576/,Canada,1955,$164M,"Clarence Mueller David Barbato Leyburn Tammy Blanchard, Morgan Spector",2.0,Jackie Zahedi Siegel Richard Brasco) Essex,Activist,Known,,0.0,Female,"Karlheinz Cagney Jr. Pernilla Kemp, James (older) Sydow"
King David,http://www.imdb.com/title/tt0109835/,US,1936,$400K,"Jon Helgeland Olmos Westmoreland Pulcini Tammy Blanchard, Morgan Spector",1.0,Kimani Cronauer Grey Jr Kid) Essex,Singer,Known,Mediterranean,0.0,Female,"Kathy Ford Kemp, Pernilla August, James Ellison Sydow"
Amadeus,http://www.imdb.com/title/tt0100873/,Canada/UK,1935,$93.6M,"Doug Bailey, Hill Stanislav Bliss Tammy Blanchard, Morgan Spector",1.0,"Annie Yohe ""Radio"" the of Essex",Military,Known,Caribbean,0.0,Female,"Craig Craig Abraham Martin Kemp, Billie Ellison Sydow"
Cinderella Man,http://www.imdb.com/title/tt0097336/,US/Canada,1955,$12.7M,"Chuck BinamÌÄå© McLaglen Sarah-Violet Sokolov Tammy Blanchard, Morgan Spector",1.0,James Burns Corbett Adams Brasco) Essex,Athlete,Known,African,0.0,Female,"Kerry Delpy Damme Derek Arthur, Kebede von Sydow"
Stars and Stripes Forever,http://www.imdb.com/title/tt0829098/,US/UK/Canada,1967,$146K,"Bennett E. Hayes, Pal Bliss Tammy Blanchard, Morgan Spector",1.0369510509417457,Allen Davis Gilbert Munro Turner) Essex,Musician,Known,Middle Eastern (White),0.09884016801420593,Female,"Dragan Miller Havilland Kate Arthur, Austin (older) Sydow"
Dangerous Beauty,http://www.imdb.com/title/tt0085622/,UK,1950,$13.4M,"Jacques Broderick DeMille Hickner Sokolov Tammy Blanchard, Morgan Spector",1.0,Charles Hawking Siegel the Kid) Essex,Media,Unknown,Native American,0.0,Male,Casey Day Basquiat Martin Winslet Kebede Ellison Sydow
Bandit Queen,http://www.imdb.com/title/tt2473602/,US/UK,1940,$139M,"Davis Wyler SchrÌ¦der Sykes Ford, Tammy Blanchard, Morgan Spector",1.0,Billie Frost Mitchell England Brasco) Essex,Activist,Unknown,Asian,0.0,Male,Billy Ross Jr Kate Winslet Kebede Nichols Sydow
Stoned,http://www.imdb.com/title/tt0035575/,Canada,1970,-,"Philip Stevens Ruth Solt Leyburn Tammy Blanchard, Morgan Spector",1.0,Clyde Pierrepoint Sr. Aurore Kid) Essex,Comedian,Unknown,Eurasian,0.0,Male,Kristen Feore Phillips Martin Winslet Kebede Nichols Sydow
Wired,http://www.imdb.com/title/tt0040976/,US,1979,$4.44M,"H.C. Berg Randy Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,Oliver Ziegfeld Gilbert Richthofen Jr. Essex,Other,Unknown,,0.0,Male,"Jon Serkis Jordan Jean Luke, Austin Whitelaw Sydow"
Mommie Dearest,http://www.imdb.com/title/tt0050681/,Canada/UK,1930,$3.09M,"Leslie Nelson John Westmoreland Ford, Tammy Blanchard, Morgan Spector",2.0,Audie Kahn Stroud Dennis Jr. Essex,Other,Unknown,African American,0.0,Male,"Derek Dupuis Jr. Derek August, James Nichols Sydow"
Sister Kenny,http://www.imdb.com/title/tt0426883/,US/Canada,1963,$19.1M,"Karel Howard Mankiewicz Pal Leyburn Tammy Blanchard, Morgan Spector",1.0,Jay Juarez Alexander Leroy Parker) Essex,Actress,Unknown,White,0.0,Male,Tony Damon Toro Martin Winslet Billie (older) Sydow
Patton,http://www.imdb.com/title/tt0039035/,US/UK/Canada,1951,$146K,"Joshua Jakubisko Avildsen Sykes Pulcini Tammy Blanchard, Morgan Spector",1.081275110281611,"Whitley Nascimento MacGregor Halsey, Brasco) Essex",Criminal,Unknown,Asian American,0.04024263111294048,Male,"Madonna Stewart Sydow Kate Arthur, James (older) Sydow"
Lords of Dogtown,http://www.imdb.com/title/tt0028313/,UK,2006,$1.73M,"Michael Pohlad Lee Panama Pulcini Tammy Blanchard, Morgan Spector",1.0,Ed Fisk Grey UK Turner) Essex,Other,Known,Hispanic (White),0.0,Female,"Caveh Stewart Damme Kate August, Kebede Whitelaw Sydow"
Dr. Ehrlich's Magic Bullet,http://www.imdb.com/title/tt2095649/,US/UK,2010,$17.1M,"Art Gartner Coppola Panama Pulcini Tammy Blanchard, Morgan Spector",1.0,Nancy Rommel Jinnah Dennis Jr. Essex,Musician,Known,Multi racial,0.0,Female,Viggo Biswas Jr Martin Liya Billie Ellison Sydow
With a Song in My Heart,http://www.imdb.com/title/tt2304771/,Canada,1977,$3.56M,"Mario Martin David Solt Leyburn Tammy Blanchard, Morgan Spector",1.0,Idi Hart VI Smalls) Turner) Essex,Other,Known,Hispanic (Latino),0.0,Female,"Lynn Leto Cusick and Arthur, Max Ellison Sydow"
Wittgenstein,http://www.imdb.com/title/tt0430308/,US,1970,$117M,"Atom Wyler Dyke Weisman Bliss Tammy Blanchard, Morgan Spector",1.0,Theo DalÌ_ Suu UK Kid) Essex,Author,Known,Indian,0.0,Female,Sigourney Knievel Burke Martin Liya Austin von Sydow
Valentino,http://www.imdb.com/title/tt0454776/,Canada/UK,1969,$41.2M,"Douglas Sturges Baird Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Harry Marcucci of Rocha Peron Essex,Criminal,Known,Hispanic (Latin American),0.0,Female,"Marlon Quinn Burke Pernilla Kemp, James Whitelaw Sydow"
Rush,http://www.imdb.com/title/tt0031981/,US/Canada,1955,$65.7K,"Henrique Beresford Hancock Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Bonnie Keats Hargreaves Belaney) Jr. Essex,Criminal,Known,Middle Eastern,0.0,Female,Sissy Williams Toro Pernilla Winslet Kebede (older) Sydow
Grey Owl,http://www.imdb.com/title/tt0040491/,US/UK/Canada,1945,$366K,"George Kapur Olmos Robert Pulcini Tammy Blanchard, Morgan Spector",1.0199033071205885,Allen Thorpe Rawlings UK Turner) Essex,Criminal,Known,Mediterranean,0.8881564995735629,Female,"Keira Redmayne Peebles Pernilla Kemp, Billie Ellison Sydow"
The Other Side of Heaven,http://www.imdb.com/title/tt0090570/,UK,1947,$30.2M,"Billy Siodmak Mankiewicz Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,Jacqueline Sedgwick Gogh of Kid) Essex,Military,Unknown,Caribbean,0.0,Male,"Rhys Jones Jr Martin Arthur, Max Whitelaw Sydow"
Al Capone,http://www.imdb.com/title/tt0096969/,US/UK,1944,$698K,"Mario Kentis Davenport Satrapi Ford, Tammy Blanchard, Morgan Spector",1.0,Jesus Teena Hollywood Anastasia Turner) Essex,Artist,Unknown,African,0.0,Male,"Joaquin Everett Damme Pernilla Arthur, Kebede (older) Sydow"
Total Eclipse,http://www.imdb.com/title/tt0462504/,Canada,1963,$4.1M,"Ricardo Stockwell Concini Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,Niki White Tchaikovsky Jr of Essex,Actor,Unknown,Middle Eastern (White),0.0,Male,"Colm Hamilton Abraham Martin Kemp, Kebede Ellison Sydow"
The Grey Fox,http://www.imdb.com/title/tt0099242/,US,1947,$21.8K,"Ericson Hitchcock John Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,Loretta Reeves Mitchell Belaney) Parker) Essex,Author,Unknown,Native American,0.0,Male,"Matt Skelton Niro Martin Arthur, Max von Sydow"
Lion of the Desert,http://www.imdb.com/title/tt1183911/,Canada/UK,1965,$409K,"Philippe Farrow Caunes Sarah-Violet Ford, Tammy Blanchard, Morgan Spector",1.0,Malcolm Webb Thompson of Turner) Essex,Actress,Unknown,Asian,0.0,Male,"AndrÌ© Watts Jordan Derek Kemp, Billie Whitelaw Sydow"
Frank & Jesse,http://www.imdb.com/title/tt0120102/,US/Canada,1946,$18.3M,"Roland Linson Lee Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Brigham Roy II UK Jr. Essex,Criminal,Unknown,Eurasian,0.0,Male,"Laura Imperioli Lucas, Martin Liya Billie (older) Sydow"
Selena,http://www.imdb.com/title/tt0045333/,US/UK/Canada,1951,$6M,"Patty Eyre David Weisman Sokolov Tammy Blanchard, Morgan Spector",1.1136539838787871,Nathan Dahmer Greene Kennedy Scots Essex,Criminal,Unknown,,0.15818724964024802,Male,"Marlon Everett Niro Pernilla Kemp, Austin von Sydow"
Cannibal! The Musical,http://www.imdb.com/title/tt0090110/,UK,1949,$400K,"Ariel Woolley McLaglen Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Derek Darwin Flanagan Crane Scots Essex,Singer,Known,,0.0,Female,"Laura Hershey VolontÌ© Kate Luke, Kebede von Sydow"
I Am a Sex Addict,http://www.imdb.com/title/tt0090110/,US/UK,1932,$29.8M,"Nicolas Branagh Refn Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,Karin Solanas Alexander Smalls) Parker) Essex,Government,Known,White,0.0,Female,Jean Foxx Carter and Liya Max Nichols Sydow
Gentleman Jim,http://www.imdb.com/title/tt0325055/,Canada,1998,$3.09M,"Adrian Egoyan Leonard Trent Sokolov Tammy Blanchard, Morgan Spector",1.0,Erik Porter of Earl of Essex,Musician,Known,Asian American,0.0,Female,"Macaulay Palmer Havilland Jean Kemp, Kebede Ellison Sydow"
Million Dollar Arm,http://www.imdb.com/title/tt2058107/,US,2014,$11M,"Russell Pohlad Refn Trent Bliss Tammy Blanchard, Morgan Spector",1.0,Lillian Belfort Rosenthal UK Turner) Essex,Historical,Known,Hispanic (White),0.0,Female,Edward Russell Le Jean Liya Kebede Whitelaw Sydow
Reversal of Fortune,http://www.imdb.com/title/tt0038026/,Canada/UK,1922,$13.8M,"Vincent Malle Peter Weisman Ford, Tammy Blanchard, Morgan Spector",3.0,Knute Gaudier-Brzeska de Menezes Jr. Essex,Other,Known,Multi racial,0.0,Female,Robin Browne Phillips Pernilla Winslet James von Sydow
Iris,http://www.imdb.com/title/tt0043687/,US/Canada,2004,$2.95M,"Graeme Cummings Wash Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Karen Currie Flanagan Richard Jr. Essex,Other,Known,,0.0,Female,Ryan Butler Abraham Pernilla Winslet James Ellison Sydow
Philomena,http://www.imdb.com/title/tt0056937/,US/UK/Canada,1944,$341K,"Alan Eyre Peebles Pal Leyburn Tammy Blanchard, Morgan Spector",1.3623622864271563,Oskar Norman Muhammad Anastasia Parker) Essex,Military,Known,Indian,0.012849202884648256,Female,"Burt Quinn Robinson Kate Arthur, James (older) Sydow"
My Dinner with Andre,http://www.imdb.com/title/tt0112573/,UK,1929,$138K,"Richard Bill Jr. Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.0,Butch Ward Gilbert Wead Kid) Essex,World leader,Unknown,Hispanic (Latin American),0.0,Male,"Leonardo Lopez Damme Martin Kemp, Kebede Nichols Sydow"
Dr. Ehrlich's Magic Bullet,http://www.imdb.com/title/tt0062844/,US/UK,1999,$2M,"Joseph Powell John Glenn Leyburn Tammy Blanchard, Morgan Spector",2.0,Temujin McCarty Alexander England Turner) Essex,Activist,Unknown,,0.0,Male,"H.B. Russell Brown and Arthur, Max Nichols Sydow"
Love Is a Many-Splendored Thing,http://www.imdb.com/title/tt0119485/,Canada,1967,$15.4M,"Mario Chadwick Hancock Weisman Bliss Tammy Blanchard, Morgan Spector",1.0,Michel Allen Chaplin Smalls) Kid) Essex,Athlete,Unknown,Mediterranean,0.0,Male,"Rod Shearer Burke Pernilla Luke, James von Sydow"
The Prince of Egypt,http://www.imdb.com/title/tt1616195/,US,1965,$1.73M,"Russell JoffÌÄå© Caunes Hickner Bliss Tammy Blanchard, Morgan Spector",1.0,Anne Jane Lee Jackson of Essex,Artist,Unknown,Caribbean,0.0,Male,"Alexander Hemingway Jones Derek August, Max (older) Sydow"
Young Cassidy,http://www.imdb.com/title/tt0048947/,Canada/UK,1991,$14.7M,"Kasi Gries John Stanislav Sokolov Tammy Blanchard, Morgan Spector",2.0,Reinaldo Young Cohan Richthofen Jr. Essex,Historical,Unknown,,0.0,Male,"Wojciech Suzman Lucas, Pernilla Winslet Austin Whitelaw Sydow"
Wilson,http://www.imdb.com/title/tt0112641/,US/Canada,1937,$225K,"Tate Kaplan Jones Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,"Mariane Alva ""Patch"" Halsey, Turner) Essex",Other,Unknown,Middle Eastern (White),0.0,Male,"Jamie Branagh Abraham Kate Arthur, Max Whitelaw Sydow"
In the Name of the Father,http://www.imdb.com/title/tt0089603/,US/UK/Canada,1947,$9.53M,"Sofia Hormann Randy Weisman Pulcini Tammy Blanchard, Morgan Spector",1.4390543301127374,"Aung Hayes Rocket"" Sweden Turner) Essex",Author,Unknown,Native American,0.12831184743066387,Male,"Gary Farnsworth Le and August, Billie Ellison Sydow"
Stealing Sinatra,http://www.imdb.com/title/tt0064158/,UK,1957,$2.17M,"Richard Luketic McLaglen Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Sam Halliwell (Robert Sweden Kid) Essex,Other,Known,Asian,0.0,Female,"Joan Morgan Robinson Derek Luke, Billie Nichols Sydow"
Gods and Monsters,http://www.imdb.com/title/tt0040491/,US/UK,1966,$4.07M,"Jean-Marc Scott Baird Sarah-Violet Ford, Tammy Blanchard, Morgan Spector",1.0,Mayer Christie Siegel Munro Peron Essex,Other,Known,Eurasian,0.0,Female,"- Aaron VolontÌ© Martin Arthur, Billie (older) Sydow"
Funny Girl,http://www.imdb.com/title/tt0096316/,Canada,1950,$9.49M,"Oren White D'Sa, Barbato Sokolov Tammy Blanchard, Morgan Spector",2.0,Rembrandt Wolff VI UK Brasco) Essex,Athlete,Known,Hispanic (Latina),0.0,Female,"Graham Gorham and Derek Arthur, Kebede Ellison Sydow"
To Walk with Lions,http://www.imdb.com/title/tt1327773/,US,1931,$1.22M,"Andrew Roth Jr. Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,Gertrude Davies Scott Assisi Turner) Essex,Athlete,Known,African American,0.0,Female,Brian Laughton Bernal and Winslet James Whitelaw Sydow
Houdini,http://www.imdb.com/title/tt1542344/,Canada/UK,1953,$1.7M,"Lloyd Parker Coppola Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,Amelia Dahmer Khan) Caravaggio Scots Essex,Athlete,Known,White,0.0,Female,Gretchen McKenna Hoffman Pernilla Liya Kebede Nichols Sydow
Self Medicated,http://www.imdb.com/title/tt0085622/,US/Canada,2000,$76.1K,"Phil Farrow Jr. Panama Bliss Tammy Blanchard, Morgan Spector",1.0,Terence Luther PrÌ©-Finzi Dennis Turner) Essex,Musician,Known,Asian American,0.0,Female,"Greer Streisand Tsarong Kate Luke, Austin (older) Sydow"
I'll Cry Tomorrow,http://www.imdb.com/title/tt2980516/,US/UK/Canada,1980,$626K,"Earl Perez D'Sa, Trent Ford, Tammy Blanchard, Morgan Spector",1.6586008155009813,Emiliano Lafferty Custer England Brasco) Essex,Author,Known,Hispanic (White),0.059507645383276166,Female,"Philip Tierney and Martin Arthur, Billie Nichols Sydow"
127 Hours,http://www.imdb.com/title/tt0469640/,UK,1921,$5.13M,"Buzz Hathaway Green Hickner Leyburn Tammy Blanchard, Morgan Spector",1.0,Errol Travers Yi Munro Parker) Essex,Other,Unknown,Multi racial,0.0,Male,"Woody Duke (young) Kate August, Kebede Whitelaw Sydow"
The Long Day Closes,http://www.imdb.com/title/tt0018054/,US/UK,1959,$1.73M,"Julien Jacobson Caunes Satrapi Sokolov Tammy Blanchard, Morgan Spector",2.0,Charles Charles Sade UK Kid) Essex,Author,Unknown,Hispanic (Latino),0.0,Male,"Keira Tatum Nicholas Martin Luke, Kebede Nichols Sydow"
Lust for Life,http://www.imdb.com/title/tt2140373/,Canada,1988,$19.6M,"Henrique Pascal Jones Glenn Leyburn Tammy Blanchard, Morgan Spector",2.0,Shirley Long Queen de Brasco) Essex,Criminal,Unknown,Indian,0.0,Male,"Allan O'Donnell Bernal and Kemp, Billie Nichols Sydow"
20 Dates,http://www.imdb.com/title/tt0072761/,US,1979,$13.3M,"Archie Nosseck Smith Pal Leyburn Tammy Blanchard, Morgan Spector",1.0,Patrick Liszt (Thaw) Rocha Peron Essex,Other,Unknown,Hispanic (Latin American),0.0,Male,"BeyoncÌ© Scott (young) Martin Kemp, James von Sydow"
Hitler: The Last Ten Days,http://www.imdb.com/title/tt0051758/,Canada/UK,1952,$120M,"Davis Tyldum Andrew Glenn Ford, Tammy Blanchard, Morgan Spector",1.0,Wilhelm Gein Cohan Kennedy Jr. Essex,Other,Unknown,,0.0,Male,"George De Jr Jean Luke, James Nichols Sydow"
Counterpunch,http://www.imdb.com/title/tt2980516/,US/Canada,1923,$777K,"Toniko Duguay Andrew Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,Audie Dylan York Richthofen Parker) Essex,Criminal,Unknown,,0.0,Male,"Gregg Jayston Hoffman Pernilla August, Billie Ellison Sydow"
Patton,http://www.imdb.com/title/tt1542344/,US/UK/Canada,1948,$4.07M,"A.W. Malick Jeffrey Weisman Leyburn Tammy Blanchard, Morgan Spector",1.4788163610495364,"Charles LaMotta ""Radio"" Earl Brasco) Essex",Other,Unknown,Caribbean,0.29841443288268044,Male,"Clifton Hunter Damme Kate Kemp, James Ellison Sydow"
The Aviator,http://www.imdb.com/title/tt0230169/,UK,1922,$52.1M,"Bob Penn Dutton Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Cesar Gurdjieff MacGregor Dennis Turner) Essex,Activist,Known,African,0.0,Female,Sienna Ritchie Brown Pernilla Liya Austin Whitelaw Sydow
The Man Who Saw Tomorrow,http://www.imdb.com/title/tt0454776/,US/UK,2013,$6M,"Angelina Fellini Davenport Panama Ford, Tammy Blanchard, Morgan Spector",1.0,Alvaro Greene Kennedy Sweden Parker) Essex,Historical,Known,Middle Eastern (White),0.0,Female,"Jesse More Kemp, Kate Luke, James Nichols Sydow"
King of Kings,http://www.imdb.com/title/tt1851006/,Canada,1945,$9.53M,"Ennio Clooney DeMille Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,Omar Hess Coleridge Earl Turner) Essex,Media,Known,Native American,0.0,Female,"Fanny O'Neill Toro Martin Luke, Kebede Nichols Sydow"
Awakenings,http://www.imdb.com/title/tt0056937/,US,1940,$47.2K,"Craig Daves Sajbel Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,Abbie Ilych Suu Assisi of Essex,Academic,Known,Asian,0.0,Female,Leo Ford Robinson Pernilla Winslet Max Nichols Sydow
The Express,http://www.imdb.com/title/tt0401997/,Canada/UK,1922,$35.9M,"Gregor Sawalich Baird Sarah-Violet Pulcini Tammy Blanchard, Morgan Spector",2.0,Rose Baader Satrapi England Turner) Essex,Criminal,Known,Eurasian,0.0,Female,"Rockliffe Harrelson Lee and Luke, Max Whitelaw Sydow"
Sex & Drugs & Rock & Roll,http://www.imdb.com/title/tt0089420/,US/Canada,1973,$96.1M,"Norman Girard George Pal Leyburn Tammy Blanchard, Morgan Spector",4.0,Oskar Wesley Carter Anastasia Peron Essex,Author,Known,Hispanic (Latina),1.0,Female,"Warner Arliss Young Derek Arthur, Billie (older) Sydow"
Hitchcock,http://www.imdb.com/title/tt0099949/,US/UK/Canada,1960,$1.04M,"Roberto Pollack Furie Panama Bliss Tammy Blanchard, Morgan Spector",1.141584134214421,Lytton Thompson Sr. Richthofen Parker) Essex,Historical,Known,African American,0.20102191195846017,Female,"Ida McKellen Law and August, Max Nichols Sydow"
Gypsy,http://www.imdb.com/title/tt0043153/,UK,1958,$6M,"Anton Donaldson Biesold, Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0,Andy M. PrÌ© Aurore Brasco) Essex,Author,Unknown,White,0.0,Male,"Cary Butler Burke Pernilla Kemp, Max Whitelaw Sydow"
Strauss' Great Waltz,http://www.imdb.com/title/tt0108065/,US/UK,1968,$105K,"Roberto Ivory Berman, Friedman Sokolov Tammy Blanchard, Morgan Spector",1.0,St. Knievel Khan) UK Kid) Essex,Athlete,Unknown,,0.0,Male,"Laurence Theron Lucas, Derek Kemp, James von Sydow"
High Roller: The Stu Ungar Story,http://www.imdb.com/title/tt1104083/,Canada,1936,$671K,"Irving Burton Ruth Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,Lygia Kearns Flanagan Jr Jr. Essex,Military,Unknown,Hispanic (White),1.0,Male,"Val Wright Jordan Jean Kemp, Max Ellison Sydow"
The Lover,http://www.imdb.com/title/tt0048191/,US,1936,$1.57M,"Valentine Underwood Ruth Robert Ford, Tammy Blanchard, Morgan Spector",1.0,Billie Cody Soubirous Kyi Scots Essex,Other,Unknown,Multi racial,0.0,Male,Doris Perkins Cusick Jean Liya Max (older) Sydow
In the Name of the Father,http://www.imdb.com/title/tt3455740/,Canada/UK,1955,$49.1M,"Byron Wilder McLaglen Rosenberg Sokolov Tammy Blanchard, Morgan Spector",1.0,Omar Quintanilla-Perez PrÌ©-Finzi de Jr. Essex,Singer,Unknown,Hispanic (Latino),0.0,Male,Julia Rhames (young) Jean Liya Kebede von Sydow
Young Mr. Lincoln,http://www.imdb.com/title/tt0097937/,US/Canada,1917,$39.1M,"Jim Ichaso David Stanislav Pulcini Tammy Blanchard, Morgan Spector",1.0,Bob Cash da Richthofen Scots Essex,Activist,Unknown,Indian,0.0,Male,"Mel Beach Hoffman Kate Arthur, Kebede Whitelaw Sydow"
